Año - mes,Dimensión valor,Cuenta,Imp. presupuestado,Imp. real,Desvio,Porcentaje de desviación
2023-05-01,Administración,Cargas sociales RRHH,0.0,-119648.32,-119648.32,
2023-06-01,Administración,Cargas sociales RRHH,0.0,-178391.88,-178391.88,
2023-07-01,Administración,Cargas sociales RRHH,0.0,-131357.28,-131357.28,
2023-08-01,Administración,Cargas sociales RRHH,0.0,-162384.75,-162384.75,
2023-04-01,Bariloche,Cargas sociales Área Social,0.0,-45737.1,-45737.1,
2023-05-01,Bariloche,Cargas sociales Área Social,0.0,-50375.66,-50375.66,
2023-06-01,Bariloche,Cargas sociales Área Social,0.0,-83626.97,-83626.97,
2023-07-01,Bariloche,Cargas sociales Área Social,0.0,-55252.83,-55252.83,
2023-08-01,Bariloche,Cargas sociales Área Social,0.0,-63572.49,-63572.49,
2023-04-01,Corralón 1 Boulogne,Cargas sociales Área Social,-184896.25,-161681.97,23214.28,-12.55530060777328
2023-05-01,Corralón 1 Boulogne,Cargas sociales Área Social,-208530.58,-179412.12,29118.46,-13.963640248830647
2023-06-01,Corralón 1 Boulogne,Cargas sociales Área Social,-312795.87,-265505.97,47289.9,-15.118454089563274
2023-07-01,Corralón 1 Boulogne,Cargas sociales Área Social,-228611.3,-174772.98,53838.32,-23.550156969493624
2023-08-01,Corralón 1 Boulogne,Cargas sociales Área Social,-267475.22,-161108.99,106366.23,-39.76676044980914
2023-04-01,Corralón 2 Matanza,Cargas sociales Área Social,0.0,-98348.08,-98348.08,
2023-05-01,Corralón 2 Matanza,Cargas sociales Área Social,0.0,-119166.59,-119166.59,
2023-06-01,Corralón 2 Matanza,Cargas sociales Área Social,0.0,-171318.94,-171318.94,
2023-07-01,Corralón 2 Matanza,Cargas sociales Área Social,0.0,-136864.93,-136864.93,
2023-08-01,Corralón 2 Matanza,Cargas sociales Área Social,0.0,-158620.2,-158620.2,
2023-04-01,Corralón 3 Barracas,Cargas sociales Área Social,0.0,-75488.29,-75488.29,
2023-05-01,Corralón 3 Barracas,Cargas sociales Área Social,0.0,-51876.33,-51876.33,
2023-06-01,Corralón 3 Barracas,Cargas sociales Área Social,0.0,-84507.07,-84507.07,
2023-07-01,Corralón 3 Barracas,Cargas sociales Área Social,0.0,-76999.21,-76999.21,
2023-08-01,Corralón 3 Barracas,Cargas sociales Área Social,0.0,-144035.12,-144035.12,
2023-04-01,Corralón 4 JC Paz,Cargas sociales Área Social,0.0,-17376.86,-17376.86,
2023-05-01,Corralón 4 JC Paz,Cargas sociales Área Social,0.0,-70923.87,-70923.87,
2023-06-01,Corralón 4 JC Paz,Cargas sociales Área Social,0.0,-104949.23,-104949.23,
2023-07-01,Corralón 4 JC Paz,Cargas sociales Área Social,0.0,-79573.12,-79573.12,
2023-08-01,Corralón 4 JC Paz,Cargas sociales Área Social,0.0,-89545.02,-89545.02,
